"Document ID","Code","Name","Source Category Code","Source Category Name","Customer Display Category","Active","Sellable","Available","Dietary Data Status","Dietary Classification","Category Review Status","Category Review Reason"
"BOND_FRAPPE","BOND_FRAPPE","Bond frappe","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","SOURCE_DATA_REVIEW","Source category is MIS / Misc. The customer UI now shows Other; owner source-data confirmation is still required."
"CHEESE_GARLIC_BREAD","CHEESE_GARLIC_BREAD","Cheese garlic bread","BAK","Baked by Bond","Baked by Bond","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"CHILLI_CRISP_HUNG_CURD_FOLD","CHILLI_CRISP_HUNG_CURD_FOLD","Chilli Crisp Hung Curd Fold","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"GARLIC_BREAD","GARLIC_BREAD","Garlic Bread","BAK","Baked by Bond","Baked by Bond","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"HUMMUS_GREENS_AND_PICKLED_ONION","HUMMUS_GREENS_AND_PICKLED_ONION","Hummus, Greens and Pickled Onion","ZAF","Zaffle & Bites","Food","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"HUNG_CURD__CHARED_VEG_TARTINE","HUNG_CURD__CHARED_VEG_TARTINE","Hung Curd & Chared Veg Tartine","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"ICED_CAPPUCCINO","ICED_CAPPUCCINO","Iced Cappuccino","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"MIX_BUSINESS","MIX_BUSINESS","Mix Business","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"MR_PESTO","MR_PESTO","Mr. Pesto","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"PROTEIN_NACHOS","PROTEIN_NACHOS","Protein Nachos","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"THE_GREEN_HARISSA_SMASH","THE_GREEN_HARISSA_SMASH","The Green Harissa Smash","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"THE_MELBOURNE_FOLD","THE_MELBOURNE_FOLD","The Melbourne Fold","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"THE_MIGHTY_MUSHROOM","THE_MIGHTY_MUSHROOM","The Mighty Mushroom","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"TRES_LECHES_NUTTY","TRES_LECHES_NUTTY","Tres Leches (Nutty)","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"AFFOGATO","AFFOGATO","Affogato","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"AVOCADO_AND_QUINOA_SALAD","AVOCADO_AND_QUINOA_SALAD","Avocado and Quinoa Salad","SAL","Salads","Food","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"AVOCADO_BREAKFAST_BOWL","AVOCADO_BREAKFAST_BOWL","Avocado Breakfast Bowl","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"BEACH_BREW","BEACH_BREW","Beach Brew","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"BERRY_SMOOTHIE_BOWL","BERRY_SMOOTHIE_BOWL","Berry Smoothie Bowl","SMO","Smoothies","Cold Drinks","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"BOND_PIZZA","BOND_PIZZA","Bond Pizza","PIZ","Pizza & Pide","Food","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"BREAD_2_SLICES","BREAD_2_SLICES","Bread (2 Slices)","BAK","Baked by Bond","Baked by Bond","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"BROWNIE","BROWNIE","Brownie","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"CAPPUCCINO","CAPPUCCINO","Cappuccino","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"CLASSIC_COLD_BREW","CLASSIC_COLD_BREW","Classic Cold Brew","CBV","Cold Brew & Vietnamese","Cold Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"CLASSIC_ZAFFLE","CLASSIC_ZAFFLE","Classic Zaffle","ZAF","Zaffle & Bites","Food","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"CLOUD_BLACK","CLOUD_BLACK","Cloud Black","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"COCO_MANGO","COCO_MANGO","Coco Mango","CCF","Cold Crafted","Cold Drinks","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"COCONUT_VIETNAMESE","COCONUT_VIETNAMESE","Coconut Vietnamese","CBV","Cold Brew & Vietnamese","Cold Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"COLD_BREW_TONIC","COLD_BREW_TONIC","Cold Brew Tonic","CBV","Cold Brew & Vietnamese","Cold Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"COLD_COFFEE","COLD_COFFEE","Cold Coffee","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"COOKIE_HAZELNUT_CHOCOLATE","COOKIE_HAZELNUT_CHOCOLATE","Cookie (Hazelnut/Chocolate)","BAK","Baked by Bond","Baked by Bond","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"CORTADO","CORTADO","Cortado","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"DOUBLE_ESPRESSO","DOUBLE_ESPRESSO","Double Espresso","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"ESPRESSO_TONIC","ESPRESSO_TONIC","Espresso Tonic","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"EXTRA_DIP","EXTRA_DIP","Extra Dip","ADD","Add Ons","Add Ons","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"FLAT_WHITE","FLAT_WHITE","Flat White","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"FOCUS_LATTE","FOCUS_LATTE","Focus Latte","ESP","Espresso Bar","Coffee","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"FRENCH_PRESS","FRENCH_PRESS","French Press","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"FRUIT_SALAD_GRANOLA_YOGURT","FRUIT_SALAD_GRANOLA_YOGURT","Fruit Salad & Granola Yogurt","SAL","Salads","Food","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"GINGER_LEMON_HONEY","GINGER_LEMON_HONEY","Ginger Lemon Honey","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"GREEN","GREEN","Green","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
"HERBAL","HERBAL","Herbal","MIS","Misc","Other","true","true","true","MISSING_TRUSTED_DIETARY_CLASSIFICATION","","NO_CODE_LEVEL_MISMATCH_FOUND",""
