"Record","Current Value","Classification","Problem","Recommended Value","Confidence","Owner Decision Required","BOM Version","Evidence"
"finishedGoods/AFFOGATO","Not present","CLEARLY_CONTAINS_EGG","No dietary field is stored; BOM trace reaches explicit raw ingredient EGG.","EGG","HIGH","YES","4","Recursive BOM leaf: EGG"
"finishedGoods/AVOCADO_AND_QUINOA_SALAD","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","5 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/AVOCADO_BREAKFAST_BOWL","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","4 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/BEACH_BREW","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","4 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/BERRY_SMOOTHIE_BOWL","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","4","8 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/BOND_FRAPPE","Not present","CLEARLY_CONTAINS_EGG","No dietary field is stored; BOM trace reaches explicit raw ingredient EGG.","EGG","HIGH","YES","5","Recursive BOM leaf: EGG"
"finishedGoods/BOND_PIZZA","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","1","9 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/BREAD_2_SLICES","Not present","MISSING_SOURCE_EVIDENCE","The final Finished Good BOM is empty, so dietary status cannot be traced to ingredients.","LEAVE BLANK until a complete approved BOM or dietary source is supplied","HIGH","YES","2","No complete recursive BOM evidence"
"finishedGoods/BROWNIE","Not present","CLEARLY_CONTAINS_EGG","No dietary field is stored; BOM trace reaches explicit raw ingredient EGG.","EGG","HIGH","YES","2","Recursive BOM leaf: EGG"
"finishedGoods/CAPPUCCINO","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","4","3 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/CHEESE_GARLIC_BREAD","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","5","2 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/CHILLI_CRISP_HUNG_CURD_FOLD","Not present","MISSING_SOURCE_EVIDENCE","The final Finished Good BOM is empty, so dietary status cannot be traced to ingredients.","LEAVE BLANK until a complete approved BOM or dietary source is supplied","HIGH","YES","2","No complete recursive BOM evidence"
"finishedGoods/CLASSIC_COLD_BREW","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","1","3 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/CLASSIC_ZAFFLE","Not present","CLEARLY_CONTAINS_EGG","No dietary field is stored; BOM trace reaches explicit raw ingredient EGG.","EGG","HIGH","YES","3","Recursive BOM leaf: EGG"
"finishedGoods/CLOUD_BLACK","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","1","6 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/COCO_MANGO","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","4 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/COCONUT_VIETNAMESE","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","1","5 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/COLD_BREW_TONIC","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","4 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/COLD_COFFEE","Not present","CLEARLY_CONTAINS_EGG","No dietary field is stored; BOM trace reaches explicit raw ingredient EGG.","EGG","HIGH","YES","1","Recursive BOM leaf: EGG"
"finishedGoods/COOKIE_HAZELNUT_CHOCOLATE","Not present","CLEARLY_CONTAINS_EGG","No dietary field is stored; BOM trace reaches explicit raw ingredient EGG.","EGG","HIGH","YES","3","Recursive BOM leaf: EGG"
"finishedGoods/CORTADO","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","3","3 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/DOUBLE_ESPRESSO","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","2 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/ESPRESSO_TONIC","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","4 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/EXTRA_DIP","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","4 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/FLAT_WHITE","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","3 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/FOCUS_LATTE","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","1","4 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/FRENCH_PRESS","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","2 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/FRUIT_SALAD_GRANOLA_YOGURT","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","4 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/GARLIC_BREAD","Not present","MISSING_SOURCE_EVIDENCE","The final Finished Good BOM is empty, so dietary status cannot be traced to ingredients.","LEAVE BLANK until a complete approved BOM or dietary source is supplied","HIGH","YES","3","No complete recursive BOM evidence"
"finishedGoods/GINGER_LEMON_HONEY","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","4 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/GREEN","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","2 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/HERBAL","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","2 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/HOJI_MAPLE_LATTE","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","4 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/HOMEMADE_ICED_TEA","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","5 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/HONG_KONG_GUNNER","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","1","5 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/HUMMUS_VEGGIES","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","8 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/HUMMUS_GREENS_AND_PICKLED_ONION","Not present","MISSING_SOURCE_EVIDENCE","The final Finished Good BOM is empty, so dietary status cannot be traced to ingredients.","LEAVE BLANK until a complete approved BOM or dietary source is supplied","HIGH","YES","2","No complete recursive BOM evidence"
"finishedGoods/HUNG_CURD__CHARED_VEG_TARTINE","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","4","20 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/ICED_AMERICANO","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","1","3 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/ICED_CAPPUCCINO","Not present","MISSING_SOURCE_EVIDENCE","The final Finished Good BOM is empty, so dietary status cannot be traced to ingredients.","LEAVE BLANK until a complete approved BOM or dietary source is supplied","HIGH","YES","1","No complete recursive BOM evidence"
"finishedGoods/ICED_LATTE","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","1","4 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/ICED_VIETNAMESE","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","4 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/KALE_RICOTTA_TOAST","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","3","5 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/KIMCHI_FRIED_RICE","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","3","5 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/LATTE","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","3","3 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/LEMON_ICE_CREAM","Not present","CLEARLY_CONTAINS_EGG","No dietary field is stored; BOM trace reaches explicit raw ingredient EGG.","EGG","HIGH","YES","2","Recursive BOM leaf: EGG"
"finishedGoods/LEMON_OJ_BITTER","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","2","5 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/LONG_BLACK","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","3","2 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/MACCHIATO","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","4","3 resolved leaf ingredient records; none has trusted dietary metadata"
"finishedGoods/MAGIK","Not present","AMBIGUOUS","The BOM resolves, but ingredient master records have no trusted dietary metadata and no explicit egg/non-vegetarian leaf proves a classification.","LEAVE BLANK pending owner or supplier dietary evidence","LOW","YES","3","3 resolved leaf ingredient records; none has trusted dietary metadata"
